rank,name,family,status,tier,tier_name,IS_Sharpe,N_trials,OOS_Sharpe,blind_OOS_DSR,OOS_trades,net_3x_cost_SR,PBO,description,why_it_died
1,Gold timing,Trend/beta,RETIRED,1,BETA MIRAGE,0.601,1500,1.015,0.686,40,0.971,,Trend-trailing overlay on gold,Identical to gold buy-and-hold beta — no timing alpha. The 0.686 is the 2023-26 gold bull, not skill.
2,Core legacy multi-rule,Trend/beta,RETIRED,1,BETA MIRAGE,0.360,1728,0.771,0.668,58,0.733,,Original multi-rule FX/gold system,Gold-beta again; underperforms plain buy-and-hold. The DSR is borrowed market beta.
3,Equity XS momentum,Equity factor,CLOSED,1,BETA MIRAGE,0.817,72,0.883,0.329,90,0.800,,Cross-sectional equity momentum,Best in-sample config is long-only beta on a survivorship panel; the true long/short spread is negative.
4,GA rule miner,TA/GA,CLOSED,3,OVERFIT,1.875,88632,0.223,0.300,3211,-0.098,,Genetic technical-rule search,"88,632 trials manufactured an in-sample 1.88; negative once you charge 3x cost. The paper result was a zero-cost artifact."
5,Macro surprise continuation,Event,CLOSED,2,FUNDING-GRADE,0.969,768,0.210,0.290,29,-0.367,,Scheduled-macro surprise continuation,Registered trial net -0.79bp/event; the real continuation gross +0.6bp sits below the 1.4-4bp cost bar. Both halves negative.
6,TSMOM ensemble,TSMOM ensemble,RETIRED,3,OVERFIT,0.030,1536,-0.084,0.191,96,-0.135,,Vol-parity multi-sleeve TSMOM + regime,"Headline Sharpe 1.72 was selection; honest pure-OOS ~0.11, best in-sample ~0 net of cost, OOS negative. Wound down."
7,Cross-asset TSMOM,Trend,CLOSED,3,OVERFIT,0.484,3456,0.198,0.141,933,-0.353,,Time-series momentum across 26 instruments,Long-biased = the bull-market beta; negative at 3x cost plus financing. -40% OOS drawdown.
8,Macro RORO,Macro,CLOSED,3,OVERFIT,0.780,1440,0.280,0.126,242,0.210,,Risk-on/risk-off price proxy,In-sample noise; -33% OOS drawdown. A price-proxy RORO, not a real macro read.
9,Weather to gas-storage nowcast,Alt-data,FUNDING-GRADE,2,FUNDING-GRADE,,10,,0.112,0,,0.621,Population-weighted HDD/CDD to gas-storage nowcast,"Nowcast is REAL (walk-forward R2 0.946) but public weather is already priced (corr -0.03), the genuine edge is licensed numerical-weather data, and contango ~18%/yr buries it. All 10 variants net-negative, placebo p=0.45."
10,Cross-asset mean reversion,Stat-arb,CLOSED,4,DEAD,0.900,958,0.310,0.063,200,0.220,,Ornstein-Uhlenbeck mean reversion,Overfit-selection decay. This family is now 6x-confirmed dead across rebuilds.
11,Carry + trend,Carry,CLOSED,3,OVERFIT,0.351,1440,-0.002,0.053,1724,-0.209,0.706,FX carry tilt blended with trend,"In-sample 0.35 to OOS 0, -36% drawdown. Effectively a carry-tilted trend; the successor failed PBO 0.706 too."
12,Turn-of-month seasonality,Seasonality,CLOSED,2,FUNDING-GRADE,0.762,234,0.595,0.044,181,0.454,,Turn-of-month index long/flat,Effect survives cost AND lag (rare) but DSR 0.044 on 234 calendar trials — real, but too weak to clear deflation.
